"cidade";"d";"h0";"h90";"h180";"h270"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9442,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9442,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9442,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9442,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2802,-46.974,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2802,-46.974,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2802,-46.974,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2802,-46.974,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2802,-46.9669,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2802,-46.9669,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2802,-46.9669,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2802,-46.9669,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2802,-46.9497,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2802,-46.9497,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2802,-46.9497,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2802,-46.9497,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2801,-46.975,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.975,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.975,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.975,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9713,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9713,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9713,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9713,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9643,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9643,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9643,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9643,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9534,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9534,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9534,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9534,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9525,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9525,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9525,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9525,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9512,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9512,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9512,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9512,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9488,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9488,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9488,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9488,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9486,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9486,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9486,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9486,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9447,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9447,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9447,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9447,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9445,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9445,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9445,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2801,-46.9445,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.28,-46.9674,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.9674,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.9674,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.9674,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.28,-46.9624,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.9624,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.9624,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.9624,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.28,-46.956,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.956,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.956,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.956,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.28,-46.955,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.955,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.955,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.955,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.28,-46.9524,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.9524,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.9524,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.9524,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.28,-46.946,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.946,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.946,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.946,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.28,-46.9438,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.9438,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.9438,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.28,-46.9438,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9849,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9849,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9849,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9849,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9635,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9635,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9635,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9635,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9572,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9572,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9572,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9572,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9537,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9537,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9537,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9537,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9512,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9512,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9512,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9512,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9479,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9479,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9479,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9479,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9469,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9469,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9469,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2799,-46.9469,h270,p20,z1"
